2500	21473
5000	20698
7500	19230
10000	17912
12500	17505
15000	16542
17500	16164
20000	15056
22500	14130
25000	14094
27500	13301
30000	12590
32500	12289
35000	12246
37500	12173
40000	11632
42500	11443
45000	11125
47500	10776
50000	10458
52500	10202
55000	10059
57500	9881
60000	9834
62500	9623
65000	9478
67500	9147
70000	8899
72500	8734
75000	8555
77500	8547
80000	8463
82500	8268
85000	8232
87500	8214
90000	8202
92500	8137
95000	8125
97500	8090
100000	7961
102500	7961
105000	7961
107500	7961
110000	7961
112500	7961
115000	7961
117500	7961
120000	7961
122500	7961
125000	7961
127500	7961
130000	7961
132500	7961
135000	7961
137500	7961
140000	7961
142500	7961
145000	7961
147500	7961
